wikipediaURL,fullName
https://en.wikipedia.org/wiki/John_Brew,John Brew
https://en.wikipedia.org/wiki/Kaye_Basford,Kaye Basford
https://en.wikipedia.org/wiki/Marcello_Costa,Marcello Costa
https://en.wikipedia.org/wiki/Georgina_Long,Georgina Long
https://en.wikipedia.org/wiki/Sarah_Medland,Sarah Medland
https://en.wikipedia.org/wiki/John_Vogels,John Vogels
https://en.wikipedia.org/wiki/Denis_Napthine,Denis Napthine
https://en.wikipedia.org/wiki/Philip_Ruddock,Philip Ruddock
https://en.wikipedia.org/wiki/Alan_Ferguson,Alan Ferguson
https://en.wikipedia.org/wiki/Bronwyn_Bishop,Bronwyn Bishop
https://en.wikipedia.org/wiki/Tony_Windsor,Tony Windsor
https://en.wikipedia.org/wiki/Mike_Baird,Mike Baird
https://en.wikipedia.org/wiki/Paul_Zammit,Paul Zammit
https://en.wikipedia.org/wiki/Noel_Padgham-Purich,Noel Padgham-Purich
https://en.wikipedia.org/wiki/Susan_Neuhaus,Susan Neuhaus
https://en.wikipedia.org/wiki/Tony_Abbott,Tony Abbott
https://en.wikipedia.org/wiki/Marcus_Westbury,Marcus Westbury
https://en.wikipedia.org/wiki/Yvonne_Audette,Yvonne Audette
https://en.wikipedia.org/wiki/Vincent_Namatjira,Vincent Namatjira
https://en.wikipedia.org/wiki/Tjunkaya_Tapaya,Tjunkaya Tapaya
https://en.wikipedia.org/wiki/Lyn_Breuer,Lyn Breuer
https://en.wikipedia.org/wiki/Belinda_Hutchinson,Belinda Hutchinson
https://en.wikipedia.org/wiki/Scott_Pape,Scott Pape
https://en.wikipedia.org/wiki/Herb_Wharton,Herb Wharton
https://en.wikipedia.org/wiki/Mark_Opitz,Mark Opitz
https://en.wikipedia.org/wiki/David_McKenzie_(Victorian_politician),David McKenzie (Victorian politician)
https://en.wikipedia.org/wiki/Marcia_Langton,Marcia Langton
https://en.wikipedia.org/wiki/Stefan_Ackerie,Stefan Ackerie
https://en.wikipedia.org/wiki/Perry_Crosswhite,Perry Crosswhite
